subestacao_de,subestacao_para,chave_de,chave_para,tensao_kv,tipo_rede,comprimento_km,agente
ALEX,MOSSORO II,ALEX,MOSSORO 2,230.0,Basica,68.9,AXIA NORDESTE
BANABUIU,MOSSORO II,BANABUIU,MOSSORO 2,230.0,Basica,177.2,AXIA NORDESTE
JAGUARUANA II,MOSSORO IV,JAGUARUANA 2,MOSSORO 4,230.0,Basica,49.52,DUNAS
C.GRANDE II,PARAISO,C.GRANDE 2,PARAISO,230.0,Basica,117.7,AXIA NORDESTE
C.GRANDE II,PARAISO,C.GRANDE 2,PARAISO,230.0,Basica,117.65,AXIA NORDESTE
C.GRANDE III,EXTREMOZ II,C.GRANDE 3,EXTREMOZ 2,230.0,Basica,192.2,AXIA NORDESTE
RIACHAO II,EXTREMOZ II,RIACHAO 2,EXTREMOZ 2,230.0,Basica,97.04,AXIA NORDESTE
ACU II,ACU III,ACU 2,ACU 3,230.0,Basica,16.2,TAESA
ACU II,ACU III,ACU 2,ACU 3,230.0,Basica,15.91,AXIA NORDESTE
ACU II,ACU III,ACU 2,ACU 3,230.0,Basica,18.35,AXIA NORDESTE
ACU II,ALEGRIA,ACU 2,ALEGRIA,230.0,Complementar,88.0,NEW ENERGY
ACU II,MIASSABA 3,ACU 2,MIASSABA 3,230.0,Complementar,80.0,BRASVENTOS MIASSABA
ACU III,MOSSORO II,ACU 3,MOSSORO 2,230.0,Basica,64.93,AXIA NORDESTE
ACU III,MOSSORO II,ACU 3,MOSSORO 2,230.0,Basica,65.53,AXIA NORDESTE
ACU III,SIMPLICE,ACU 3,SIMPLICE,230.0,Basica,52.5,TAESA
AREIA BRANCA,MOSSORO II,AREIA BRANCA,MOSSORO 2,230.0,Complementar,59.7,EOL MAR E TERRA
CARAUBAS II,ACU III,CARAUBAS 2,ACU 3,230.0,Basica,56.05,DUNAS
CARCARA II,MOSSORO II,CARCARA 2,MOSSORO 2,230.0,Complementar,52.1,CARCARÁ II
CEARA MIRIM 2,EXTREMOZ II,CEARA MIRIM 2,EXTREMOZ 2,230.0,Basica,31.2,AXIA NORDESTE
CEARA MIRIM 2,EXTREMOZ II,CEARA MIRIM 2,EXTREMOZ 2,230.0,Basica,19.2,AXIA NORDESTE
CEARA MIRIM 2,JOAO CAMARA 2,CEARA MIRIM 2,JOAO CAMARA 2,230.0,Basica,72.2,AXIA NORDESTE
CEARA MIRIM 2,JOAO CAMARA 2,CEARA MIRIM 2,JOAO CAMARA 2,230.0,Basica,72.2,ARGO VI
CEARA MIRIM 2,TOUROS,CEARA MIRIM 2,TOUROS,230.0,Basica,61.45,AXIA NORDESTE
COL CUMARU,J. CAMARA III,COLONIA CUMARU,JOAO CAMARA 3,230.0,Complementar,26.97,CUMARU I
CURR NOVOS II,LAGOA NOVA II,CURRAIS NOVOS 2,LAGOA NOVA 2,230.0,Basica,24.72,LAGOA NOVA
CUTIA,TOUROS,CUTIA,TOUROS,230.0,Complementar,31.5,ENERGIA EOLICA CUTIA
EXTREMOZ II,NATAL III,EXTREMOZ 2,NATAL 3,230.0,Basica,17.0,AXIA NORDESTE
EXTREMOZ II,NATAL III,EXTREMOZ 2,NATAL 3,230.0,Basica,16.5,AXIA NORDESTE
GALINHOS,MIASSABA 3,GALINHOS,MIASSABA 3,230.0,Complementar,40.0,BRASVENTOS EOLO
GAMELEIRA,TOUROS,GAMELEIRA,TOUROS,230.0,Complementar,20.5,SPE GAMELEIRA
JOAO CAMARA 2,J. CAMARA III,JOAO CAMARA 2,JOAO CAMARA 3,230.0,Basica,10.0,ETAP
JOAO CAMARA 2,UNIAO  VENTOS,JOAO CAMARA 2,UNIAO VENTOS,230.0,Complementar,26.0,EOL POTIGUAR
LAGOA NOVA II,PARAISO,LAGOA NOVA 2,PARAISO,230.0,Basica,65.0,AXIA NORDESTE
LAGOA NOVA II,PARAISO,LAGOA NOVA 2,PARAISO,230.0,Basica,68.65,TAESA
MONTE DO RONCA,J. CAMARA III,MONTE DO RONCA,JOAO CAMARA 3,230.0,Complementar,30.0,VDSF1
MOSSORO II,MOSSORO IV,MOSSORO 2,MOSSORO 4,230.0,Basica,40.0,AXIA NORDESTE
MOSSORO II,QUIXERE,MOSSORO 2,QUIXERE,230.0,Basica,50.077,AXIA NORDESTE
MUNDO NOVO,TOUROS,MUNDO NOVO,TOUROS,230.0,Complementar,,SPE2 MUNDO NOVO
NATAL III,NATAL II,NATAL 3,NATAL 2,230.0,Basica,11.55,AXIA NORDESTE
PARAISO,ACU II,PARAISO,ACU 2,230.0,Basica,135.0,AXIA NORDESTE
PARAISO,ACU II,PARAISO,ACU 2,230.0,Basica,133.45,AXIA NORDESTE
PARAISO,NATAL II,PARAISO,NATAL 2,230.0,Basica,97.1,AXIA NORDESTE
PARAISO,NATAL II,PARAISO,NATAL 2,230.0,Basica,97.05,AXIA NORDESTE
SIMPLICE,LAGOA NOVA II,SIMPLICE,LAGOA NOVA 2,230.0,Basica,35.1,TAESA
VALE DO ACU,ACU II,VALE DO ACU,ACU 2,230.0,Complementar,30.0,PETROBRAS
JAGUARUANA II,ACU III,JAGUARUANA 2,ACU 3,500.0,Basica,107.3,DUNAS
C.GRANDE III,CEARA MIRIM 2,C.GRANDE 3,CEARA MIRIM 2,500.0,Basica,201.0,AXIA NORDESTE
C.GRANDE III,CEARA MIRIM 2,C.GRANDE 3,CEARA MIRIM 2,500.0,Basica,196.3,POTIGUAR SUL
ACU III,J. CAMARA III,ACU 3,JOAO CAMARA 3,500.0,Basica,135.1,ARGO VIII
ACU III,MILAGRES II,ACU 3,MILAGRES 2,500.0,Basica,292.0,ARGO VIII
ACU III,QUIXADA,ACU 3,QUIXADA,500.0,Basica,229.08,ARGO VI
CEARA MIRIM 2,J. CAMARA III,CEARA MIRIM 2,JOAO CAMARA 3,500.0,Basica,64.0,AXIA NORDESTE
CEARA MIRIM 2,J. CAMARA III,CEARA MIRIM 2,JOAO CAMARA 3,500.0,Basica,61.45,ARGO VI
JANDAIRA II,J. CAMARA III,JANDAIRA 2,JOAO CAMARA 3,500.0,Basica,28.751,ARGO VI
