ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.028424-6.1,49.3,49.3,Operação,100% para ENERBRASIL-ENERGIAS RENOVAVEIS DO BRASIL S/A - 04.569.050/0001-45 (PIE)
EOL.CV.RN.028443-2.1,100.65,100.65,Operação,100% para NEW ENERGY OPTIONS GERACAO DE ENERGIA S.A - 04.245.220/0001-36 (PIE)
EOL.CV.RN.028444-0.1,51.0,51.0,Operação,100% para NEW ENERGY OPTIONS GERACAO DE ENERGIA S.A - 04.245.220/0001-36 (PIE)
EOL.CV.RN.028787-3.1,1.8,1.8,Operação,100% para PETRÓLEO BRASILEIRO S.A. PETROBRAS - 33.000.167/0001-01 (REG)
EOL.CV.RN.030121-3.1,14.4,14.4,Operação,100% para BRASVENTOS ARATUA 1 GERADORA DE ENERGIA S.A. - 11.637.037/0001-41 (PIE)
EOL.CV.RN.030281-3.1,26.0,26.0,Operação,100% para EOLICA MANGUE SECO 3 - GERADORA E COMERCIALIZADORA DE ENERGIA ELETRICA S.A. - 11.643.567/0001-00 (PIE)
EOL.CV.RN.030284-8.1,26.0,26.0,Operação,100% para EOLICA MANGUE SECO 2 - GERADORA DE ENERGIA ELETRICA S.A. - 11.643.504/0001-46 (PIE)
EOL.CV.RN.030285-6.1,26.0,26.0,Operação,100% para EOLICA MANGUE SECO 1 - GERADORA E COMERCIALIZADORA DE ENERGIA ELETRICA S.A. - 11.643.458/0001-85 (PIE)
EOL.CV.RN.030290-2.1,26.0,26.0,Operação,100% para EOLICA MANGUE SECO 4 - GERADORA E COMERCIALIZADORA DE ENERGIA ELETRICA S.A. - 11.643.647/0001-58 (PIE)
EOL.CV.RN.030292-9.1,30.0,30.0,Operação,100% para SANTA CLARA I ENERGIAS RENOVAVEIS LTDA - 10.797.899/0001-79 (PIE)
EOL.CV.RN.030293-7.1,30.0,30.0,Operação,100% para SANTA CLARA III ENERGIAS RENOVAVEIS LTDA - 10.797.910/0001-09 (PIE)
EOL.CV.RN.030300-3.1,28.8,28.8,Operação,100% para DESA MORRO DOS VENTOS VI LTDA. - 11.686.150/0001-17 (PIE)
EOL.CV.RN.030301-1.1,28.8,28.8,Operação,100% para DESA MORRO DOS VENTOS I LTDA. - 11.686.050/0001-90 (PIE)
EOL.CV.RN.030302-0.1,30.0,30.0,Operação,100% para DESA MORRO DOS VENTOS IX LTDA. - 11.686.103/0001-73 (PIE)
EOL.CV.RN.030304-6.1,30.0,30.0,Operação,100% para SANTA CLARA VI ENERGIAS RENOVAVEIS LTDA - 10.797.906/0001-32 (PIE)
EOL.CV.RN.030307-0.1,30.0,30.0,Operação,100% para SANTA CLARA IV ENERGIAS RENOVAVEIS LTDA - 10.797.907/0001-87 (PIE)
EOL.CV.RN.030308-9.1,30.0,30.0,Operação,100% para SANTA CLARA II ENERGIAS RENOVAVEIS LTDA - 10.797.908/0001-21 (PIE)
EOL.CV.RN.030310-0.1,28.8,28.8,Operação,100% para DESA MORRO DOS VENTOS III LTDA. - 11.686.100/0001-30 (PIE)
