chave_subestacao,nom_subestacao,agente_principal,latitude,longitude,tensao_max_kv,tensoes_kv,nome_exibicao
ACU 2,ACU II,AXIA NORDESTE,-5.5931,-36.9079,230.0,69;138;230,SE Açu II
ACU 3,ACU III,ARGO VI,-5.579,-37.0297,500.0,230;500,SE Açu III
CARAUBAS 2,CARAUBAS II,DUNAS,-5.7119,-37.5089,230.0,69;230,SE Caraúbas II
CEARA MIRIM 2,CEARA MIRIM 2,AXIA NORDESTE,-5.6733,-35.4514,500.0,230;500,SE Ceará Mirim II
CURRAIS NOVOS 2,CURR NOVOS II,LAGOA NOVA,-6.2654,-36.5451,230.0,69;230,SE Currais Novos II
EXTREMOZ 2,EXTREMOZ II,AXIA NORDESTE,-5.7378,-35.3042,230.0,69;230,SE Extremoz II
JANDAIRA 2,JANDAIRA II,ARGO VI,-5.4111,-36.0195,500.0,500,SE Jandaíra II
JOAO CAMARA 2,JOAO CAMARA 2,AXIA NORDESTE,-5.3021,-35.8752,230.0,69;230,SE João Câmara II
JOAO CAMARA 3,J. CAMARA III,AXIA NORDESTE,-5.3798,-35.8862,500.0,138;230;500,SE João Câmara III
LAGOA NOVA 2,LAGOA NOVA II,AXIA NORDESTE,-6.0621,-36.5258,230.0,69;230,SE Lagoa Nova II
MONTE VERDE,MONTE VERDE,ARGO VI,-5.4464,-36.2155,500.0,500,SE Monte Verde
MOSSORO 2,MOSSORO II,AXIA NORDESTE,-5.1499,-37.3498,230.0,69;230,SE Mossoró II
MOSSORO 4,MOSSORO IV,AXIA NORDESTE,-4.854,-37.2909,230.0,230,SE Mossoró IV
NATAL 2,NATAL II,AXIA NORDESTE,-5.809,-35.2394,230.0,69;230,SE Natal II
NATAL 3,NATAL III,AXIA NORDESTE,-5.8717,-35.3169,230.0,69;230,SE Natal III
PARAISO,PARAISO,AXIA NORDESTE,-6.2368,-36.0051,230.0,138;230,SE Paraíso
RIACHAO 2,RIACHAO II,AXIA NORDESTE,-6.517,-35.6331,230.0,230,SE Riachão II
SANTA LUZIA 2,SANTA LUZIA II,SANTA LUZIA,-6.9117,-36.9836,500.0,138;500,SE Santa Luzia II
SIMPLICE,SIMPLICE,DUNAMIS,-5.8169,-36.6469,230.0,230,SE Simplice
TOUROS,TOUROS,AXIA NORDESTE,-5.1819,-35.6567,230.0,69;230,SE Touros
